name,code,description,points_required,is_active
Kanyama Eco Warrior,kanyama-eco-warrior,Complete 3 waste management modules,150,1
Kalingalinga Champion,kalingalinga-champion,Lead 2 cleanup events in your compound,200,1
Chawama Cleanup Hero,chawama-cleanup-hero,Participate in 5 community cleanups,250,1
Compost Master,compost-master,Successfully create and maintain a compost bin,100,1
E-Waste Expert,e-waste-expert,Safely dispose of 5 electronic items,180,1
Compound Leader,compound-leader,Organize 3 cleanup events in any compound,300,1
Recycling Ambassador,recycling-ambassador,Teach 10 people about recycling,220,1
Plastic Warrior,plastic-warrior,Reduce plastic use for 30 consecutive days,150,1
Waste Sorter Pro,waste-sorter-pro,Correctly sort waste for 2 weeks,120,1
Lusaka Green Champion,lusaka-green-champion,Earn 1000 total points across all activities,1000,1
